S,P,g_type,Camada,q,tipo_q,n_bob_info,y,zeta,Classificacao_zeta,Observacao_passo
96,8,g=P/2,única,4,inteiro,4,12,0.9577,excelente,
96,8,g=P,dupla,4,inteiro,12,8,0.8294,evitar,
96,8,g=P,dupla,4,inteiro,12,9,0.8848,bom,
96,8,g=P,dupla,4,inteiro,12,10,0.925,excelente,recomendado
96,8,g=P,dupla,4,inteiro,12,11,0.9495,excelente,
96,8,g=P,dupla,4,inteiro,12,12,0.9577,excelente,
96,8,g=P/2,dupla,4,inteiro,24,8,0.8294,evitar,
96,8,g=P/2,dupla,4,inteiro,24,9,0.8848,bom,
96,8,g=P/2,dupla,4,inteiro,24,10,0.925,excelente,recomendado
96,8,g=P/2,dupla,4,inteiro,24,11,0.9495,excelente,
96,8,g=P/2,dupla,4,inteiro,24,12,0.9577,excelente,
96,12,g=P,dupla,2.67,fracionário,"2.7 [3,3,2]",5,0.7991,evitar,
96,12,g=P,dupla,2.67,fracionário,"2.7 [3,3,2]",6,0.8879,bom,
96,12,g=P,dupla,2.67,fracionário,"2.7 [3,3,2]",7,0.9426,excelente,recomendado
96,12,g=P,dupla,2.67,fracionário,"2.7 [3,3,2]",8,0.9611,excelente,
96,12,g=P/2,dupla,2.67,fracionário,"5.3 [6,6,4]",5,0.7991,evitar,
96,12,g=P/2,dupla,2.67,fracionário,"5.3 [6,6,4]",6,0.8879,bom,
96,12,g=P/2,dupla,2.67,fracionário,"5.3 [6,6,4]",7,0.9426,excelente,recomendado
96,12,g=P/2,dupla,2.67,fracionário,"5.3 [6,6,4]",8,0.9611,excelente,
96,16,g=P,única,2,inteiro,1,5,0.933,excelente,recomendado
96,16,g=P,única,2,inteiro,1,6,0.9659,excelente,
96,16,g=P/2,única,2,inteiro,2,5,0.933,excelente,recomendado
96,16,g=P/2,única,2,inteiro,2,6,0.9659,excelente,
96,16,g=P,dupla,2,inteiro,6,4,0.8365,evitar,
96,16,g=P,dupla,2,inteiro,6,5,0.933,excelente,recomendado
96,16,g=P,dupla,2,inteiro,6,6,0.9659,excelente,
96,16,g=P/2,dupla,2,inteiro,12,4,0.8365,evitar,
96,16,g=P/2,dupla,2,inteiro,12,5,0.933,excelente,recomendado
96,16,g=P/2,dupla,2,inteiro,12,6,0.9659,excelente,
